Attribute,Unit,Datatype,Description
StationID,<cruiseID/cruise name>#<station/event number>,String,"A unique ID for the sampling event, preferably as ""<cruiseID>#<station/event number>"". For example: 64PE438#21. Very important because it is used to match stations metadata to species observations. No empty (i.e. NA) cells should occur."
valid_name,Taxon,String,"The taxonomic name assigned to the reported species/taxon name in the original species CSV files by checking against the accepted names in the WoRMS database. No empty (i.e. NA) cells should occur, because all taxa that could not be matched against WoRMS are discarded from the database."
File,File name,String,The file name of the original input CSV file from which the species data is imported. No empty (i.e. NA) cells should occur.
rank,Taxonomic rank,String,"The rank of the valid_name as assigned by checking against the WoRMS database. Possible ranks of the valid_name is: species, genus, family, order, class, phylum. No empty (i.e. NA) cells should occur."
phylum,Taxonomic rank,String,The phylum that belongs to the taxon under valid_name. Will only be NA if the valid_name has a rank higher than phylum (like kingdom) which is very unlikely.
class,Taxonomic rank,String,The class that belongs to the taxon under valid_name. Will only be NA if the valid_name has a rank higher than class.
order,Taxonomic rank,String,The order that belongs to the taxon under valid_name. Will only be NA if the valid_name has a rank higher than order.
family,Taxonomic rank,String,The family that belongs to the taxon under valid_name. Will only be NA if the valid_name has a rank higher than family.
genus,Taxonomic rank,String,The genus that belongs to the taxon under valid_name. Will only be NA if the valid_name has a rank higher than genus.
isFuzzy,TRUE or FALSE,Boolean,If the valid_name was obtained from WoRMS using an algorithm that searches for fuzzy matches (i.e. allows misspellings and phonetic spellings) isFuzzy is TRUE. If the match was exact is Fuzzy will be FALSE.
incomplete_count,TRUE or FALSE,Boolean,"If the density value is based on incomplete data, this value is TRUE, otherwise FALSE. An example of incomplete count data: Station 1, species A = 2 of 4 mm, Species A = 3 of 3 mm, Species A = unknown count of 1 mm, total count of species A at Station 1 = 5 but incomplete i.e. underestimation)."
incomplete_biomass,TRUE or FALSE,Boolean,"If the biomass value is based on incomplete data, this value is TRUE, otherwise FALSE. An example of incomplete biomass data: Station 1, species A = 1 of 5 gram, Species A = 1 of 6 gram, Species A = 1 of unknown weight, total weight of species A at Station 1 = 11 gram but incomplete i.e. underestimation)."
source_Biomass_g,NA,String,The original column name where the biomass value was taken from. AFDW_sum = the reported biomass was measured in the lab (high confidence). AFDW_from_WW_sum = the reported biomass was converted from measured wet weight using a conversion factor in the bioconversion.csv file (medium confidence). AFDW_calc_sum = the reported biomass obtain using a regression formula from the bioconversion.csv file (low confidence).
Vessel,NA,String,"Name of the research vessel. Often used: RV Pelagia. Optional field, so may be NA."
CruiseID,NA,String,"Cruise ID when the sampling occurred, for example 64PE438. If the cruise also had a name it can optionally be provided in the attribute Cruise_name. No empty (NA) fields should occur."
Cruise_name,NA,String,"Generic name of the research cruise. DO NOT CONFUSE with CruiseID. Optional, so may contain empty (NA) fields."
Station_name,NA,String,"Generic name of the station where the sample is taken, can be used to later link back to for example box core samples. DO NOT CONFUSE with StationID. Optional, so may contain empty (NA) fields."
Date,DD/MM/YYYY,Date,"The date when the sampling event took place in the format ""DD/MM/YYYY"". For example: 12/01/1994. Should be based on the time in UTC+0. Should not contain empty (NA) fields."
