Attribute,Unit,Datatype,Description
File,File name,String,The file name of the original input CSV file from which the species data is imported. No empty (i.e. NA) cells should occur.
EntryID,ID,String,"A unique ID for each entry (row) of the original input data. Not necessarily in alphabetical or numerical order, i.e. is not suitable for ordering the dataset."
StationID,<cruiseID/cruise name>#<station/event number>,String,"A unique ID for the sampling event, preferably as ""<cruiseID>#<station/event number>"". For example: 64PE438#21. Very important because it is used to match stations metadata to species observations. No empty (i.e. NA) cells should occur."
valid_name,Taxon,String,"The taxonomic name assigned to the reported species/taxon name in the original species CSV files by checking against the accepted names in the WoRMS database. No empty (i.e. NA) cells should occur, because all taxa that could not be matched against WoRMS are discarded from the database."
is_ID_confident,TRUE or FALSE,Boolean,"If the individual(s) from this entry could not be identified with confidence this column is set to FALSE, otherwise TRUE."
rank,Taxonomic rank,String,"The rank of the valid_name as assigned by checking against the WoRMS database. Possible ranks of the valid_name is: species, genus, family, order, class, phylum. No empty (i.e. NA) cells should occur."
genus,Taxonomic rank,String,The genus that belongs to the taxon under valid_name. Will only be NA if the valid_name has a rank higher than genus.
family,Taxonomic rank,String,The family that belongs to the taxon under valid_name. Will only be NA if the valid_name has a rank higher than family.
order,Taxonomic rank,String,The order that belongs to the taxon under valid_name. Will only be NA if the valid_name has a rank higher than order.
class,Taxonomic rank,String,The class that belongs to the taxon under valid_name. Will only be NA if the valid_name has a rank higher than class.
phylum,Taxonomic rank,String,The phylum that belongs to the taxon under valid_name. Will only be NA if the valid_name has a rank higher than phylum (like kingdom) which is very unlikely.
isFuzzy,TRUE or FALSE,Boolean,If the valid_name was obtained from WoRMS using an algorithm that searches for fuzzy matches (i.e. allows misspellings and phonetic spellings) isFuzzy is TRUE. If the match was exact is Fuzzy will be FALSE.
Count,Number,Integer,The number of organisms included in this particular entry. This count is already corrected for any given fraction and thus represents the full catch. No NA values should occur.
Size_dimension,"Predefined: Body_length, Body_width, Diameter, Shell_length, Shell_width, Shell_height, Siphon_width, Tube_length, Claw_length, Claw_width, Carapace_length, Carapace_width, Max_length, Arm_disc_length, Disc_diameter, Mantle_length, Area, Volume",String,The morphological dimension of the organism that was measured. Please refer to the vignette to view a diagram that specifies how measuring dimensions are named. For organisms without a characteristic form (like some sponges and ascidians) sometimes an estimated area or volume is reported.
Size_mm,millimeter,Double,Size in millimeters of the measured Size_dimension for the (group of) specimen(s) in this particular entry. Original sizes in the unit 1/2cm were converted as mm = 1/2cm*5+5. Original sizes in the unit cm were converted as mm = cm*10. Original sizes in the unit cm2 were converted as mm (assumed mm2 if Size_dimension is Area) = cm2*100. Original sizes in the unit cm3 were converted as mm (assumed mm3 if Size_dimension is Volume) = cm3*1000.
is_Partial_AFDW,TRUE or FALSE,Boolean,"If the reported AFDW_g concerns only part of the organism, set is_Partial_AFDW to TRUE, and report in the Comment what part of the organism was weighted. Otherwise set to FALSE."
is_Shell_removed,TRUE or FALSE,Boolean," is_Shell_removed = TRUE if the organism under consideration occurs naturally with shell, but the shell was removed for weighing (so only flesh was weighted). In all other cases set to FALSE. This field applies not only to Molluscs but also to hermit crabs, tube worms, and other organisms were an external hard shell is easily removed."
is_Partial_WW,TRUE or FALSE,Boolean,"If the reported wet weight concerns only part of the organism, i.e. the organism was broken, set is_Partial_WW to TRUE, and report in the Comment colum what part of the organism was weighted. Otherwise set to FALSE. If the organism is weighed without shell (is_Shell_removed = TRUE), but the internal flesh was intact, you should set is_Partial_WW to FALSE."
is_Fraction_assumed,TRUE or FALSE,Boolean,"Boolean to describe if the reported ""Fraction"" was not specified in the original data thus it was assumed to be the reported value (is_Fraction_assumed = TRUE), or if ""Fraction"" was reported specifically in the original data (is_Fraction_assumed = FALSE)."
is_Preserved,TRUE or FALSE,Boolean,"If the specimen(s) is/are preserved and taken back to a research institute for later analysis, set isPreserved to TRUE, otherwise to FALSE. In the comments should be specified where the specimens can be found."
Comment.sp,Text,String,Additional comments about the specimens.
Individual_WW_g,grams,Double,The individual wet weight in grams for a specimen of the reported size. Obtained as reported entry weight divided by the count. Only original weight values are used i.e. no calculated wet weights are included.
Individual_AFDW_g,grams,Double,The individual ash-free dry weight in grams for a specimen of the reported size. Obtained as reported entry AFDW divided by the count. Only original AFDW values are used i.e. no calculated AFDW are included.
CruiseID,NA,String,"Cruise ID when the sampling occurred, for example 64PE438. If the cruise also had a name it can optionally be provided in the attribute Cruise_name. No empty (NA) fields should occur."
Cruise_name,NA,String,"Generic name of the research cruise. DO NOT CONFUSE with CruiseID. Optional, so may contain empty (NA) fields."
Date,DD/MM/YYYY,Date,"The date when the sampling event took place in the format ""DD/MM/YYYY"". For example: 12/01/1994. Should be based on the time in UTC+0. Should not contain empty (NA) fields."
Region,"Predefined: BB, BC, CB, CZ, DB, DH, FF, FG, OF, OG, WM",String,"Predefined general region where the sample is taken. If the station was not in these predefined regions, insert NA. BB = Brown Bank, BC = Botney Cut, CB = Cleaver Bank, CZ = Coastal Zone, DB = Dogger Bank, DH = Devil's Hole, FF = Frysian Front, FG = Fladen Grounds, OF = Offshore, OG = Oyster Grounds, WM = wind mill area."
Blade_width_cm,Centimeters,Double,The depth in cm of the exised strip of sediment by the blade.
Blade_depth_cm,Centimeters,Double,The width in cm of the exised strip of sediment by the blade.
is_Quantitative,1 or 0,Boolean,"For each sampling track it should be noted if the catch can be used fully quantitatively (isQuantitative = 1) or not (isQuantitative = 0). For example, if there are doubts about if the catch correctly represents the full area sampled track but the data might still be useful to analyze the abundance of species relative to each other, the data can be included while setting the isQuantitative to 0."
Station_objective,"Predefined: Complete, Incomplete",String,"Sometimes a cruise or sampling station has a specific focus on a taxonomic group or a certain taxonomic group is explicitally excluded. For every track specify: If the full catch was IDed and processed (so no focus or exclusions) Station_objective = Complete. If some groups were specifically excluded or focussed on i.e. not the full catch was processed, Station_objective = Incomplete. In this case the excluded taxonomic groups should be noted in the column ""Excluded"" seperated by a "";"" and focussed on taxonomic groups should be noted in the column ""Focus"" seperated by a "";""."
Station_name,NA,String,"Generic name of the station where the sample is taken, can be used to later link back to for example box core samples. DO NOT CONFUSE with StationID. Optional, so may contain empty (NA) fields."
Comment.st,Text,String,Any comments regarding the sampling station.
Vessel,NA,String,"Name of the research vessel. Often used: RV Pelagia. Optional field, so may be NA."
Time_start,HH:MM:SS,Time,"Time in UTC+0 when the dredge touched bottom or when the sampling started. Format: HH:MM:SS. If only one moment in time is recorded, use this column; leave out Time_stop or set to NA."
Time_stop,HH:MM:SS,Time,Time in UTC+0 when the dredge was heaved from the bottom or when sampling stopped. Format: HH:MM:SS.
Focus,NA,String,"If Station_objective = Incomplete and some groups were specifically focussed on, this column should be filled with the names of taxonomic groups which were the focus of this specific sampling station, seperated by "";"". For example: Polychaeta;Callianassa.  Set to NA for all entries were no species were specifically focussed on."
Excluded,String,String,"If Station_objective = Incomplete and certain groups were not IDed and processed, this column should specify which taxa were excluded, seperated by "";"". For example: Polychaeta;Callianassa. With exclusion we mean that there is no informtion at all noted about these taxa. For example, if a taxon was not counted but it was bulk measured the information is still usefull for presence/absence and biomass plots. Therefore, it should not be considered 'excluded'. Set to NA if there were no excluded taxa."
Tow_speed_knots,Knots,Double,The average speed at which the TripleD was towed in knots (one nautical mile per hour).
Lat_DD,Decimal degrees in WGS84,Double,Latitude in decimal degrees of the midpoint of the dredge track in WGS84.
